Date,Close/Last,Volume,Open,High,Low,Adjusted Close
06/04/2024,96.59,N/A,96.59,96.59,96.59,96.59
06/03/2024,96.59,N/A,96.59,96.59,96.59,96.59
05/31/2024,96.63,N/A,96.63,96.63,96.63,96.63
05/30/2024,96.77,N/A,96.77,96.77,96.77,96.77
05/29/2024,96.68,N/A,96.68,96.68,96.68,96.68
05/28/2024,96.68,N/A,96.68,96.68,96.68,96.68
05/24/2024,96.82,N/A,96.82,96.82,96.82,96.82
05/23/2024,97.03,N/A,97.03,97.03,97.03,97.03
05/22/2024,97.14,N/A,97.14,97.14,97.14,97.14
05/21/2024,96.84,N/A,96.84,96.84,96.84,96.84
05/20/2024,96.84,N/A,96.84,96.84,96.84,96.84
05/17/2024,96.64,N/A,96.64,96.64,96.64,96.64
05/16/2024,96.63,N/A,96.63,96.63,96.63,96.63
05/15/2024,96.61,N/A,96.61,96.61,96.61,96.61
05/14/2024,96.61,N/A,96.61,96.61,96.61,96.61
05/13/2024,96.61,N/A,96.61,96.61,96.61,96.61
05/10/2024,96.43,N/A,96.43,96.43,96.43,96.43
05/09/2024,96.5,N/A,96.5,96.5,96.5,96.5
05/08/2024,96.5,N/A,96.5,96.5,96.5,96.5
05/07/2024,96.31,N/A,96.31,96.31,96.31,96.31
05/06/2024,96.31,N/A,96.31,96.31,96.31,96.31
05/03/2024,95.98,N/A,95.98,95.98,95.98,95.98
05/02/2024,96.4,N/A,96.4,96.4,96.4,96.4
05/01/2024,96.28,N/A,96.28,96.28,96.28,96.28
04/30/2024,96.31,N/A,96.31,96.31,96.31,96.31
04/29/2024,96.31,N/A,96.31,96.31,96.31,96.31
04/26/2024,96.16,N/A,96.16,96.16,96.16,96.16
04/25/2024,96.23,N/A,96.23,96.23,96.23,96.23
04/24/2024,96.13,N/A,96.13,96.13,96.13,96.13
04/23/2024,96.08,N/A,96.08,96.08,96.08,96.08
04/22/2024,96.08,N/A,96.08,96.08,96.08,96.08
04/19/2024,96.2,N/A,96.2,96.2,96.2,96.2
04/18/2024,96.21,N/A,96.21,96.21,96.21,96.21
04/17/2024,96.3,N/A,96.3,96.3,96.3,96.3
04/16/2024,96.57,N/A,96.57,96.57,96.57,96.57
04/15/2024,96.57,N/A,96.57,96.57,96.57,96.57
04/12/2024,96.44,N/A,96.44,96.44,96.44,96.44
04/11/2024,96.83,N/A,96.83,96.83,96.83,96.83
04/10/2024,96.83,N/A,96.83,96.83,96.83,96.83
04/09/2024,96.7,N/A,96.7,96.7,96.7,96.7
04/08/2024,96.7,N/A,96.7,96.7,96.7,96.7
04/05/2024,96.68,N/A,96.68,96.68,96.68,96.68
04/04/2024,96.44,N/A,96.44,96.44,96.44,96.44
04/03/2024,96.46,N/A,96.46,96.46,96.46,96.46
