price,ma7,ma21,26ema,12ema,MACD,20sd,upper_band,lower_band,ema,momentum,log_momentum,fft,absolute,angle,gs,meta,msft,spx,gbpusd,usdjpy
220.82,220.87000000000003,,221.55927489763675,221.30524878978457,-0.2540261078521837,,,,220.8484971718244,219.82,-0.00040748874310261163,(3571.510318186034-7565.948738824339j),8366.556416556748,-1.1297572202394495,98.49,500.27,401.7,5408.42,1.3131,142.29
222.38,221.7357142857143,,221.66011390814455,221.4963360267036,-0.16377788144095007,,,,221.8695009784736,221.38,0.007039740264112186,(1076.528326036854-9502.71996700688j),9563.503542536644,-1.457990924146046,98.45,516.86,408.39,5503.41,1.3175,143.03
220.85,221.5,,221.56520920992853,221.38410753849635,-0.18110167143217382,,,,221.18983323318628,219.85,-0.00690389223256768,(-71.92307547991958-7438.896396194537j),7439.24408270777,-1.5804645397458619,98.45,512.74,408.9,5520.07,1.3148,143.72
222.77,221.5,,221.70052155358746,221.6200807756275,-0.08044077795995008,,,,222.24327796464456,221.77,0.008656111034247151,(839.0742372835945-6271.270087788727j),6327.153711556776,-1.4377897067174488,98.45,511.76,409.44,5528.93,1.3108,145.41
229.0,222.4057142857143,,222.49014631762884,222.8563435855181,0.3661972678892482,,,,226.74775963547327,228.0,0.027582154477457144,(42.13832502414217-4358.605852923329j),4358.809541557573,-1.5611287831653773,98.42,521.31,417.14,5648.4,1.3129,146.18
229.79,223.78857142857143,,223.25377097967143,224.00218497680586,0.7484139971344348,,,,228.7759199256064,228.79,0.0034438448126052523,(4814.333398626043-7065.084507135357j),8549.457594847187,-0.9726450971697758,98.53,518.22,413.12,5591.96,1.3167,144.78
226.49,224.58571428571432,,223.5822764867994,224.40867724440972,0.8264007576103154,,,,227.25197329673475,225.49,-0.014465054528776274,(624.7550243192107-7092.9241150247335j),7120.385617500747,-1.482941613248982,98.47,516.78,410.6,5592.18,1.3228,144.55
228.03,225.61571428571432,,224.0217037283399,224.99478144993094,0.9730777215910393,,,,227.77065776691705,227.03,0.006776405407990169,(288.2568779450561-8225.387802376641j),8230.437201459534,-1.5357658862251917,98.5,519.1,413.84,5625.8,1.3247,144.38
227.18,226.3014285714286,,224.32620918913335,225.34564730963604,1.0194381205026843,,,,227.37688592196687,226.18,-0.003734544442783201,(-2214.092761715332-4854.286580669907j),5335.382363500498,-1.9987204000283623,98.5,521.12,413.49,5616.84,1.3188,144.94
226.84,227.15714285714287,,224.5632787693242,225.58398453887017,1.0207057695459696,4.07182524053694,,,227.01896197388632,225.84,-0.0014977316574482909,(928.6082919499883-4786.902368768033j),4876.140650965195,-1.3791868188491196,98.41,528.0,416.79,5634.61,1.3215,144.39
224.53,227.4085714285714,223.73809523809524,224.5602025707783,225.4168262284762,0.8566236576978952,3.9388075940769083,231.61571042624905,215.86048004994143,225.35965399113684,223.53,-0.010235594601717756,(-606.7173737194017-6515.359458482813j),6543.547573359151,-1.6636496408443175,98.34,531.93,415.55,5570.64,1.31,145.69
226.4,227.0371428571429,223.65238095238095,224.72720178128696,225.57201697818812,0.8448151969011519,3.7982825412491277,231.2489460348792,216.0558158698827,226.05321799706772,225.4,0.008294017784918372,(-2902.2716218240857-3370.74222139676j),4448.042680770069,-2.281652554844998,98.28,535.16,424.14,5620.85,1.3085,145.25
226.51,226.56857142857143,223.54000000000002,224.8863696251819,225.71948456349426,0.8331149383123488,3.8033598373847832,231.1467196747696,215.93328032523044,226.35773933235913,225.51,0.0004857477298486391,(-832.4388080630067-3725.4141768658455j),3817.285050708472,-1.7906336923257509,98.18,526.73,424.8,5597.12,1.3027,145.47
225.89,226.4828571428571,223.78761904761905,224.97463144666676,225.74620253532947,0.7715710886627107,3.4646437881761214,230.71690662397128,216.8583314712668,226.04591311078528,224.89,-0.002740938939692848,(-1915.1480645981383-2459.6747782814805j),3117.3373452752985,-2.2323630607471445,98.18,529.28,421.53,5608.25,1.298,147.1
226.05,226.2,224.22857142857143,225.06790849584004,225.79366943334657,0.7257609375065215,2.954764929647316,230.13810128786605,218.3190415692768,226.0486377035951,225.05,0.0007080586214304702,(64.14865921504585-2764.5631298146636j),2765.3072793470415,-1.5475965853087714,97.96,527.42,418.47,5554.25,1.2946,147.61
224.72,225.8485714285714,224.62857142857143,225.038108481671,225.62631522134754,0.5882067396765365,2.912165951026111,230.45290333062366,218.8042395265192,225.16287923453135,223.72,-0.005901030944626007,(950.6722696262005-2521.990075428041j),2695.220158872697,-1.210314348579101,97.94,537.33,421.03,5543.22,1.287,148.93
